loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,hardship_flag,disbursement_method,debt_settlement_flag,debt_settlement_flag_date
2400,2400,2400.0,36 months,15.96,84.33,C,C5,,10+ years,RENT,12252.0,Not Verified,Dec-2011,Fully Paid,n,small_business,real estate business,606xx,IL,8.72,0.0,Nov-2001,2.0,,,2.0,0.0,2956,98.5,10.0,f,0.0,0.0,3005.6668441393,3005.67,2400.0,605.67,0.0,0.0,0.0,Jun-2014,649.91,,Jun-2017,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
10000,10000,10000.0,36 months,13.49,339.31,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200.0,Source Verified,Dec-2011,Fully Paid,n,other,personel,917xx,CA,20.0,0.0,Feb-1996,1.0,35.0,,10.0,0.0,5598,21.0,37.0,f,0.0,0.0,12231.890000000902,12231.89,10000.0,2214.92,16.97,0.0,0.0,Jan-2015,357.48,,Apr-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
3000,3000,3000.0,36 months,18.64,109.43,E,E1,MKC Accounting ,9 years,RENT,48000.0,Source Verified,Dec-2011,Fully Paid,n,car,Car Downpayment,900xx,CA,5.35,0.0,Jan-2007,2.0,,,4.0,0.0,8221,87.5,4.0,f,0.0,0.0,3939.135293905698,3939.14,3000.0,939.14,0.0,0.0,0.0,Jan-2015,111.34,,Dec-2014,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
5600,5600,5600.0,60 months,21.28,152.39,F,F2,,4 years,OWN,40000.0,Source Verified,Dec-2011,Charged Off,n,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0.0,Apr-2004,2.0,,,11.0,0.0,5210,32.6,13.0,f,0.0,0.0,647.5,647.5,162.02,294.94,0.0,190.54,2.09,Apr-2012,152.39,,Oct-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
5375,5375,5350.0,60 months,12.69,121.45,B,B5,Starbucks,< 1 year,RENT,15000.0,Verified,Dec-2011,Charged Off,n,other,Building my credit history.,774xx,TX,18.08,0.0,Sep-2004,0.0,,,2.0,0.0,9279,36.5,3.0,f,0.0,0.0,1484.59,1477.7,673.48,533.42,0.0,277.69,2.52,Nov-2012,121.45,,Dec-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
12000,12000,12000.0,36 months,12.69,402.54,B,B5,UCLA,10+ years,OWN,75000.0,Source Verified,Dec-2011,Fully Paid,n,debt_consolidation,Consolidation,913xx,CA,10.78,0.0,Oct-1989,0.0,,,12.0,0.0,23336,67.1,34.0,f,0.0,0.0,13947.989155158899,13947.99,12000.0,1947.99,0.0,0.0,0.0,Sep-2013,6315.3,,Nov-2018,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
3000,3000,3000.0,36 months,9.91,96.68,B,B1,Target,3 years,RENT,15000.0,Source Verified,Dec-2011,Fully Paid,n,credit_card,citicard fund,606xx,IL,12.56,0.0,Jul-2003,2.0,,,11.0,0.0,7323,43.1,11.0,f,0.0,0.0,3480.2699994228,3480.27,3000.0,480.27,0.0,0.0,0.0,Jan-2015,102.43,,Apr-2017,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
10000,10000,10000.0,36 months,10.65,325.74,B,B2,SFMTA,3 years,RENT,100000.0,Source Verified,Dec-2011,Charged Off,n,other,Other Loan,951xx,CA,7.06,0.0,May-1991,2.0,,,14.0,0.0,11997,55.5,29.0,f,0.0,0.0,7471.99,7471.99,5433.47,1393.42,0.0,645.1,6.3145,Oct-2013,325.74,,Oct-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
10000,10000,10000.0,36 months,15.27,347.98,C,C4,Chin's Restaurant,4 years,RENT,42000.0,Not Verified,Dec-2011,Fully Paid,n,home_improvement,Home,921xx,CA,18.6,0.0,Oct-1998,2.0,61.0,,14.0,0.0,24043,70.2,28.0,f,0.0,0.0,12527.1500000008,12527.15,10000.0,2527.15,0.0,0.0,0.0,Jan-2015,370.46,,Sep-2018,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
9200,9200,9200.0,36 months,6.03,280.01,A,A1,Network Interpreting Service,6 years,RENT,77385.0,Not Verified,Dec-2011,Fully Paid,n,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,921xx,CA,9.86,0.0,Jan-2001,0.0,,,8.0,0.0,7314,23.1,28.0,f,0.0,0.0,9460.0008480671,9460.0,9200.0,260.0,0.0,0.0,0.0,Jul-2012,8061.1,,Feb-2016,0.0,,1,Individual,0.0,0.0,0.0,0.0,0.0,N,Cash,N,
